Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ji7   43   RS @WIL W(111-101)  0  1  2400   5  13   5  10   0   3   5   5   0   0   3   4   2   6  1  3  4  13  1  2  15   8   2  10 111 101   43   28   0   1   1   1  A
   Jc5   43   RS @WIL W(111-101)  0  0   902   4   4   4   4   0   0   0   0   1   1   4   4   0   0  2  2  4   0  1  0   8   8   2   3  47  44    4    0   1   0   0   0  A
   Fj3   43   RS @WIL W(111-101)  0  1  1800   6  14   2   8   4   6  10  11   0   1   1   4   1   4  1  6  7   2  3  4  26   2   0  20  91  71   21    3   1   2   0   4  A
   Ia3   43   RS @WIL W(111-101)  0  1  1498   2   7   2   7   0   0   0   0   0   1   2   5   0   2  1 10 11   0  0  0   4   4   0   7  64  57    8    1   0   0   0   0  A
   Fi3   49   RS vWIL   W(85-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Kf2   49   RS vWIL   W(85-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   If1   49   RS vWIL   W(85-84)  0  1  1809   0   8   0   5   0   3   6   6   0   0   0   2   0   3  0  4  4   3  2  2   6   0   0  -3  56  59   19    9   2   0   0   2  A
  He10   49   RS vWIL   W(85-84)  0  0  1389   3   6   2   4   1   2   4   6   0   0   0   0   2   4  1  4  5   2  4  3  11   0   0   4  51  47   11    2   4   0   1   2  A
   Ie8   49   RS vWIL   W(85-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Eg6   49   RS vWIL   W(85-84)  0  0   639   1   2   1   1   0   1   0   0   0   0   1   1   0   0  0  1  1   0  0  0   2   2   2  -4  25  29    3    1   0   0   0   0  A
   Ja3   49   RS vWIL   W(85-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  Kc11   49   RS vWIL   W(85-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Ji7   49   RS vWIL   W(85-84)  0  1  2400   7  12   6  10   1   2   0   0   0   0   2   2   4   8  0  3  3   4  0  0  15   4   2   1  85  84   35   23   0   0   0   0  A
   Jc5   49   RS vWIL   W(85-84)  0  1  2400   7  19   7  19   0   0   2   2   0   0   3  10   4   9  2 13 15   1  2  1  16   8   2   1  85  84   22    2   2   0   1   0  A
   Fj3   49   RS vWIL   W(85-84)  0  1  2400   7  17   4  11   3   6  12  14   1   2   3   8   1   3  3  2  5   9  3  6  29   6   2   1  85  84   37   14   2   1   0   6  A
   Ia3   49   RS vWIL   W(85-84)  0  1   963   3   6   3   6   0   0   0   0   1   1   2   3   1   3  2  6  8   0  4  0   6   4   2   5  38  33    8    2   4   0   0   0  A
   Fi3   55   RS @QUE   L(89-95)  0  0    30   1   1   0   0   1   1   0   0   0   0   0   0   0   0  0  0  0   0  0  0   3   0   0   1   3   2    1    0   0   0   0   0  A
   Jc5   55   RS @QUE   L(89-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ie8   55   RS @QUE   L(89-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  He10   55   RS @QUE   L(89-95)  0  0    78   1   1   1   1   0   0   0   0   0   0   0   0   1   1  0  1  1   0  0  0   2   0   0   4   6   2    1    0   0   0   0   0  A
  Kc11   55   RS @QUE   L(89-95)  0  1  2400   8  20   8  19   0   1   0   2   0   0   6  13   2   6  3  7 10   0  1  1  16  12   0  -6  89  95   22    1   1   0   1   0  A
   Eg6   55   RS @QUE   L(89-95)  0  0   832   3   7   3   5   0   2   2   4   0   0   0   0   3   5  1  2  3   1  0  2   8   0   0  -5  31  36   10    1   0   0   0   2  A
   Ji7   55   RS @QUE   L(89-95)  0  1  2370   4   8   3   6   1   2   4   4   0   0   2   2   1   4  0  3  3  20  3  2  13   6   2  -7  86  93   47   37   0   3   1   1  A
   Ia3   55   RS @QUE   L(89-95)  0  1  2400  10  18  10  17   0   1   3   4   1   1   7   8   3   9  3 13 16   0  0  2  23  17   2  -6  89  95   23    3   0   0   2   0  A
